,Title,Domestic_Total_Gross,Distributor,Release_Date,Runtime,Production_Budget,MPAA_Rating,Genre
597,American Dream: Detroit,55092,Fathom,"May 15, 2018",90,N/A,Unrated,Documentary
598,Canelo vs Rocky,54916,Fathom,"December 15, 2018",270,N/A,Unrated,Unknown
599,Digimon Adventure Tri. 6: Future,54324,Fathom,"September 20, 2018",120,N/A,Unrated,Animation
600,The Great Silence,53074,Film Movement,"March 30, 2018",105,N/A,Unrated,Western
601,Twiceland,52874,CJ Entertainment,"December 7, 2018",N/A,N/A,Unrated,Documentary
602,Digimon Adventure Tri. 5: Coexistence,52339,Fathom,"May 10, 2018",89,N/A,Unrated,Animation
603,Before We Vanish,52087,Super,"February 2, 2018",129,N/A,R,Sci-Fi Thriller
604,The Snowman Trek,51743,Fathom,"May 17, 2018",105,N/A,Unrated,Documentary
605,Wanda,51713,Janus Films,"July 20, 2018",103,N/A,Unrated,Crime Drama
606,I Am Not a Witch,50868,Film Movement,"September 7, 2018",93,N/A,Unrated,Drama
607,Harry & Meghan - The Royal Wedding,50264,Fathom,"May 19, 2018",210,N/A,Unrated,Unknown
608,Jumanji Movie Event,49381,Fathom,"June 10, 2018",223,N/A,PG-13,Action
609,Hal,48698,Oscilloscope Pictures,"September 7, 2018",90,N/A,Unrated,Documentary
610,The China Hustle,48650,Magnolia,"March 30, 2018",84,N/A,R,Documentary
611,350 Days - Legends. Champions. Survivors.,47526,Fathom,"July 12, 2018",125,N/A,Unrated,Documentary
612,Bigger,46382,Freestyle Releasing,"October 12, 2018",107,N/A,PG-13,Drama
613,Racer & the Jailbird,46337,Super,"May 4, 2018",130,N/A,R,Crime Drama
614,Summer in the Forest,45542,Abramorama,"March 23, 2018",108,N/A,Unrated,Documentary
615,Rodin,44261,Cohen Media Group,"June 1, 2018",119,N/A,Unrated,Drama
616,What Will People Say,44156,Kino Lorber,"July 13, 2018",106,N/A,Unrated,Drama
617,Liyana,44045,Abramorama,"October 10, 2018",77,N/A,Unrated,Animation
618,Garry Winogrand: All Things Are Photographable,44002,Greenwich,"September 19, 2018",90,N/A,Unrated,Documentary
619,Hitler's Hollywood,43766,Kino Lorber,"April 11, 2018",105,N/A,Unrated,Documentary
620,Antonio Lopez 1970: Sex Fashion & Disco,43169,Film Movement,"September 14, 2018",95,N/A,Unrated,Documentary
621,First We Take Brooklyn,42812,Zealous Productions,"February 9, 2018",91,N/A,Unrated,Crime Drama
622,A Ciambra,41934,IFC,"January 19, 2018",118,N/A,Unrated,Drama
623,Golden Exits,41888,Vertical Entertainment,"February 9, 2018",94,N/A,R,Drama
624,Western,41072,Cinema Guild,"February 16, 2018",120,N/A,Unrated,Drama
625,Humor Me,40099,Shout! Factory,"January 12, 2018",93,N/A,Unrated,Comedy
626,Submission,39985,Great Point,"March 2, 2018",106,N/A,R,Drama
627,Mamma Mia! 10th Anniversary,39601,Fathom,"November 4, 2018",108,N/A,PG-13,Musical
628,Divide and Conquer: The Story of Roger Ailes,38510,Magnolia,"December 7, 2018",107,N/A,Not Yet Rated,Documentary
629,Araby,38399,Grasshopper Film,"June 22, 2018",98,N/A,Unrated,Drama
630,Gray Matter,38034,Indican,"May 18, 2018",85,N/A,Unrated,Sci-Fi
631,The Heart of Nuba,37788,Abramorama,"April 6, 2018",85,N/A,Unrated,Documentary
632,Oolong Courtyard,37727,China Lion,"August 24, 2018",103,N/A,Unrated,Comedy
633,Krystal,37516,Paladin,"April 13, 2018",90,N/A,R,Comedy / Drama
634,Girls vs Gangsters,37115,Well Go USA,"March 9, 2018",138,N/A,Unrated,Comedy
635,Return of the Hero,37108,Distrib Films,"August 30, 2018",90,N/A,Unrated,Drama
636,Breath,37108,FilmRise,"June 1, 2018",116,N/A,Unrated,Drama
637,Small Group,37058,Gathr Films,"October 18, 2018",120,N/A,PG-13,Drama
638,Searching for Ingmar Bergman,36686,Oscilloscope Pictures,"November 2, 2018",99,N/A,Unrated,Documentary
639,Mind Game,36613,GKIDS,"February 16, 2018",103,N/A,Unrated,Animation
640,A tous ceux qui ne me lisent pas,36506,Entertainment One,"November 23, 2018",107,N/A,Unrated,Drama
641,"No Date, No Signature",36444,Distrib Films,"August 1, 2018",104,N/A,Unrated,Drama
642,Le Corbeau,36089,Rialto,"April 20, 2018",93,N/A,Unrated,Drama
643,The House of Tomorrow,35821,Shout! Factory,"April 27, 2018",85,N/A,Unrated,Comedy / Drama
644,The Big Bad Fox and Other Tales,35787,GKIDS,"March 8, 2018",83,N/A,G,Animation
645,The Road Movie,35757,Oscilloscope Pictures,"January 19, 2018",67,N/A,Unrated,Documentary
646,PGS Intuition,35423,Gathr Films,"January 16, 2018",83,N/A,Unrated,Documentary
647,That Summer,34556,IFC,"May 18, 2018",80,N/A,Unrated,Documentary
648,24 Frames,34482,Janus Films,"February 2, 2018",114,N/A,Unrated,Foreign
649,Holy Hell,34366,Indican,"July 20, 2018",89,N/A,Unrated,Action Comedy
650,Kuleana,33953,Gathr Films,"April 13, 2018",95,N/A,PG-13,Drama
651,Sollers Point,32608,Oscilloscope Pictures,"May 11, 2018",102,N/A,R,Drama
652,Goodland,32140,Parade Deck Films,"May 11, 2018",84,N/A,Unrated,Crime
653,Moynihan,31970,First Run,"October 3, 2018",104,N/A,Unrated,Documentary
654,Good Manners,31177,Distrib Films,"July 27, 2018",135,N/A,Unrated,Fantasy
655,Poor Boy,31031,Indican,"July 13, 2018",104,N/A,Unrated,Drama
656,Cold Water,30209,Janus Films,"April 27, 2018",92,N/A,Unrated,Drama
657,The Desert Bride,30110,Strand,"May 4, 2018",78,N/A,Unrated,Drama
658,Memories of Underdevelopment,29647,Janus Films,"January 12, 2018",97,N/A,Unrated,Drama
659,The Mercy,29538,Screen Media,"November 30, 2018",112,N/A,Unrated,Adventure
660,Charm City,29335,PBS Distribution,"October 12, 2018",108,N/A,Unrated,Documentary
661,Restoring Tomorrow,28556,Fathom,"November 13, 2018",102,N/A,PG,Documentary
662,The Apparition,28293,Music Box Films,"September 7, 2018",144,N/A,Unrated,Drama
663,On Her Shoulders,28288,Oscilloscope Pictures,"October 19, 2018",94,N/A,Unrated,Documentary
664,Quai des Orfevres,28013,Rialto,"April 13, 2018",106,N/A,Unrated,Crime Drama
665,The Amendment,27961,Fathom,"April 12, 2018",90,N/A,Unrated,Drama
666,Senso,27723,Rialto,"October 26, 2018",123,N/A,Unrated,Drama
667,The Cured,26630,IFC,"February 23, 2018",95,N/A,R,Horror
668,Milford Graves Full Mantis,26566,Cinema Guild,"July 13, 2018",91,N/A,Unrated,Documentary
669,Belle de jour,26331,Janus Films,"March 23, 2018",100,N/A,R,Drama
670,The Charmer,26167,Film Movement,"December 5, 2018",102,N/A,Unrated,Drama / Thriller
671,The Misandrists,26123,Cartilage,"May 25, 2018",91,N/A,Unrated,Comedy Thriller
672,Ridge Runners,26019,Indican,"January 19, 2018",81,N/A,Unrated,Crime Thriller
673,Jet Trash,26002,Indican,"April 27, 2018",85,N/A,Unrated,Drama / Thriller
674,In the Intense Now,24955,Icarus Films,"January 31, 2018",127,N/A,Unrated,Documentary
675,Phoenix Wilder: And The Great Elephant Adventure,24844,Fathom,"April 16, 2018",100,N/A,Unrated,Family
676,The Day After,24746,Cinema Guild,"May 11, 2018",92,N/A,Unrated,Comedy / Drama
677,Swimming with Men,24708,IFC,"December 7, 2018",96,N/A,Unrated,Comedy
678,Life & Nothing More,24358,CFI Releasing,"October 24, 2018",114,N/A,Unrated,Drama
679,Seven Years of Night,24281,CJ Entertainment,"April 6, 2018",123,N/A,Unrated,Action Drama
680,Elliot: The Littlest Reindeer,24262,Screen Media,"November 30, 2018",89,N/A,PG,Animation
681,Vazante,23884,Music Box Films,"January 12, 2018",116,N/A,Unrated,Drama
682,Death House,23833,Hannover House,"March 2, 2018",93,N/A,R,Horror
683,Letter From Masanjia,23481,Ammo Content,"September 14, 2018",77,N/A,Unrated,Documentary
684,The Atomic Cafe,22293,Kino Lorber,"August 1, 2018",86,N/A,Unrated,Documentary
685,The Judge,22257,Idle Wild Films,"April 13, 2018",82,N/A,Unrated,Documentary
686,Winning Formula,22189,Indican,"July 27, 2018",93,N/A,Unrated,Crime Comedy
687,The Workshop,22061,Strand,"March 23, 2018",113,N/A,Not Yet Rated,Drama
688,Loving Pablo,22017,Universal,"October 5, 2018",123,N/A,R,Crime Drama
689,The Female Brain,21786,IFC,"February 9, 2018",98,N/A,Unrated,Comedy
690,A Paris Education,21598,Kino Lorber,"August 30, 2018",137,N/A,Unrated,Drama
691,Half the Picture,21589,Gravitas Ventures,"June 8, 2018",94,N/A,Unrated,Documentary
692,Tyrel,21456,Magnolia,"December 7, 2018",86,N/A,Not Yet Rated,Comedy / Drama
693,Ganja & Hess,21197,Kino Lorber,"May 30, 2018",113,N/A,R,Horror
694,The Happys,21108,Indican,"March 16, 2018",87,N/A,Unrated,Comedy
695,Ava,20940,Grasshopper Film,"April 27, 2018",103,N/A,Unrated,Drama
696,Did You Wonder Who Fired the Gun?,20765,Grasshopper Film,"February 28, 2018",90,N/A,Unrated,Documentary
697,Tag Along: The Devil Fish,20726,China Lion,"December 7, 2018",114,N/A,Unrated,Horror
698,Ice Dragon: The Legend of the Blue Daisies,20549,Fathom,"March 24, 2018",70,N/A,Unrated,Animation
699,The Devil and Father Amorth,20449,The Orchard,"April 20, 2018",68,N/A,Unrated,Documentary
700,Izzy Gets the Fuck Across Town,20208,Shout! Factory,"June 22, 2018",86,N/A,Unrated,Comedy / Drama
701,Apocalypsis,20052,Indican,"March 2, 2018",90,N/A,Unrated,Sci-Fi
702,Eight Hours Don't Make a Day,19987,Janus Films,"March 16, 2018",476,N/A,Unrated,Foreign
703,"One Sings, the Other Doesn't",19919,Janus Films,"June 1, 2018",120,N/A,Unrated,Musical
704,Active Measures,19862,Super,"August 31, 2018",110,N/A,PG-13,Documentary
705,Freak Show,19696,IFC,"January 12, 2018",95,N/A,Unrated,Comedy / Drama
706,Who We are Now,19128,FilmRise,"May 25, 2018",100,N/A,Unrated,Drama
707,November,19084,Oscilloscope Pictures,"February 23, 2018",115,N/A,Unrated,Drama
708,Anything,19037,Paladin,"May 11, 2018",94,N/A,R,Drama
709,Frank and Ava,18829,Hannover House,"December 7, 2018",110,N/A,Unrated,Drama
710,Mrs. Hyde,18627,Cartilage,"April 27, 2018",95,N/A,Unrated,Drama
711,Maquia: When the Promised Flower Blooms,18539,Eleven Arts,"September 21, 2018",115,N/A,Unrated,Animation
712,Allegiance To Broadway,18527,Fathom,"December 4, 2018",85,N/A,Unrated,Documentary
713,Desolation,18490,Parade Deck Films,"January 26, 2018",89,N/A,Unrated,Thriller
714,Gabriel and the Mountain,18415,Strand,"June 15, 2018",131,N/A,Unrated,Drama
715,306 Hollywood,18399,El Tigre,"September 28, 2018",88,N/A,Unrated,Documentary
716,Marlina the Murderer in Four Acts,17788,Icarus Films,"June 22, 2018",93,N/A,Unrated,Drama / Thriller
717,King of Hearts,17646,Cohen Media Group,"February 23, 2018",102,N/A,Unrated,Comedy / Drama
718,Chronicle of Anna Magdalena Bach,17527,Grasshopper Film,"March 2, 2018",94,N/A,Unrated,Music Drama
719,A Bread Factory,17325,In the Family,"October 26, 2018",242,N/A,Unrated,Comedy / Drama
720,Revival!,17252,TriCoast Worldwide,"December 7, 2018",105,N/A,PG,Musical
721,Haikara-San: Here Comes Miss Modern,16572,Eleven Arts,"June 8, 2018",97,N/A,Unrated,Animation
722,Detour,16172,Janus Films,"November 30, 2018",68,N/A,Unrated,Drama / Thriller
723,OUT on Stage,15623,Fathom,"July 24, 2018",90,N/A,R,Unknown
724,Bob Le Flambeur,15586,Rialto,"January 5, 2018",100,N/A,Unrated,Crime Drama
725,When You Read this Letter,15552,Rialto,"September 12, 2018",104,N/A,Unrated,Drama
726,Narcissister Organ Player,15334,Film Movement,"November 7, 2018",91,N/A,Unrated,Documentary
727,Sicilian Ghost Story,15285,Strand,"November 30, 2018",120,N/A,Unrated,Drama
728,People's Republic of Desire,15241,Tripod Media,"November 30, 2018",95,N/A,Unrated,Documentary
729,Trust Machine: The Story of Blockchain,14905,SingularDTV,"October 26, 2018",84,N/A,Unrated,Documentary
730,Prayer Before Dawn,14453,A24,"August 10, 2018",116,N/A,R,Action Drama
731,The Last Movie Star,14410,A24,"March 30, 2018",94,N/A,R,Drama
732,Chasing the Blues,14030,Ammo Content,"October 5, 2018",80,N/A,Unrated,Comedy
733,The Escape,14018,IFC,"May 11, 2018",105,N/A,Unrated,Drama
734,Weed the People,13926,Abramorama,"October 26, 2018",97,N/A,Unrated,Documentary
735,Here and Now,13892,AMBI,"November 9, 2018",91,N/A,R,Drama
736,Stavisky,13793,Rialto,"October 3, 2018",120,N/A,PG,Drama
737,The Boy Downstairs,13638,FilmRise,"February 16, 2018",90,N/A,PG-13,Romantic Comedy
738,Un Traductor,13509,Film Movement,"October 19, 2018",107,N/A,Unrated,Drama
739,Shed Skin Papa,13331,China Lion,"March 23, 2018",100,N/A,Unrated,Comedy / Drama
740,Our Blood is Wine,13210,Music Box Films,"March 9, 2018",78,N/A,Unrated,Documentary
741,Like Me,12965,Kino Lorber,"January 26, 2018",80,N/A,Unrated,Horror Thriller
742,How Victor 'The Garlic' Took Alexey 'The Stud' to the Nursing Home,12954,CARUSEL,"March 23, 2018",90,N/A,Unrated,Crime Drama
743,"Lou Andreas-Salomé, the Audacity to be Free",12875,Cinema Libre Studio,"April 20, 2018",113,N/A,Unrated,Drama
744,American Socialist: The Life & Times of Eugene Victor Debs,12609,First Run,"March 2, 2018",97,N/A,Unrated,Documentary
745,Of Fathers and Sons,12579,Kino Lorber,"November 16, 2018",99,N/A,Unrated,Documentary
746,My Art,12554,Film Movement,"January 12, 2018",87,N/A,Unrated,Comedy
747,American Chaos,12368,Sony Classics,"September 14, 2018",90,N/A,R,Documentary
748,Head Full of Honey,12350,Warner Bros.,"November 30, 2018",139,N/A,PG-13,Drama
749,The Owl's Legacy,12316,Icarus Films,"November 9, 2018",340,N/A,Unrated,Documentary
750,Let Yourself Go,12189,Menemsha,"March 2, 2018",112,N/A,Unrated,Drama
751,The Most Unknown,12119,Abramorama,"May 18, 2018",88,N/A,Unrated,Documentary
752,Minding the Gap,11998,Magnolia,"August 17, 2018",93,N/A,Unrated,Documentary
753,The Last Race,11947,Magnolia,"November 16, 2018",75,N/A,Unrated,Documentary
754,Les Parents Terribles,11818,Cohen Media Group,"May 25, 2018",105,N/A,Unrated,Drama
755,Summer '03,11746,Blue Fox Entertainment,"September 28, 2018",95,N/A,Unrated,Drama
756,Hannah,11700,Parade Deck Films,"March 9, 2018",95,N/A,Unrated,Drama
757,This is Our Land,11567,Distrib Films,"April 18, 2018",117,N/A,Unrated,Drama
758,Souvenir,11411,Strand,"March 2, 2018",90,N/A,Unrated,Drama
759,Rendezvous in July,11321,Rialto,"August 1, 2018",100,N/A,Unrated,Comedy / Drama
760,The Public Image is Rotten,11293,Abramorama,"September 14, 2018",103,N/A,Unrated,Documentary
761,Bullitt County,11257,Mr. Pictures,"October 26, 2018",98,N/A,Unrated,Thriller
762,The Assassin's Code,11218,Gravitas Ventures,"May 11, 2018",95,N/A,Unrated,Thriller
763,The Wedding Party 2: Destination Dubai,11140,IronFlix,"February 14, 2018",98,N/A,Unrated,Comedy
764,Class Rank,10452,Cinedigm Entertainment,"May 11, 2018",103,N/A,Unrated,Comedy
765,Mama Africa Miriam Makeba,10430,Artmattan Prods.,"January 19, 2018",90,N/A,Unrated,Documentary
766,The Advocates,10402,Cinema Libre Studio,"October 19, 2018",87,N/A,Unrated,Documentary
767,Around India with a Movie Camera,10389,Icarus Films,"November 30, 2018",72,N/A,Unrated,Documentary
768,Heavy Trip,10153,Music Box Films,"October 5, 2018",90,N/A,Unrated,Action Comedy
769,Time Freak,10003,Grindstone Entertainment,"November 9, 2018",104,N/A,PG-13,Comedy / Drama
770,Furious,9996,CARUSEL,"April 20, 2018",107,N/A,Unrated,Action
771,River Runs Red,9893,Cinedigm Entertainment,"November 9, 2018",84,N/A,Unrated,Drama / Thriller
772,Please Stand By,9868,Magnolia,"January 26, 2018",93,N/A,PG-13,Comedy / Drama
773,The Quest of Alain Ducasse,9627,Magnolia,"June 8, 2018",84,N/A,Unrated,Documentary
774,Strangers on the Earth,9518,First Run,"May 4, 2018",96,N/A,Unrated,Documentary
775,El Mar La Mar,9065,Cinema Guild,"February 23, 2018",94,N/A,Unrated,Documentary
776,Step Up: High Water Premiere,9005,Fathom,"January 30, 2018",120,N/A,Unrated,Documentary
777,Zoo Wars,8998,Parade Deck Films,"April 27, 2018",75,N/A,G,Animation
778,Survivors Guide to Prison,8982,Gravitas Ventures,"February 23, 2018",102,N/A,Unrated,Documentary
779,Summer of '67,8941,Mainstreet,"June 29, 2018",83,N/A,Unrated,Drama
780,Beauty and the Dogs,8915,Oscilloscope Pictures,"March 23, 2018",100,N/A,Unrated,Drama
781,Blood Feast,8708,Hannover House,"April 6, 2018",96,1.2 000000,R,Horror Thriller
782,Furlough,8472,IFC,"March 16, 2018",83,N/A,R,Comedy
783,The Clovehitch Killer,8208,IFC,"November 16, 2018",109,N/A,Unrated,Drama / Thriller
784,Spiral,8190,Cohen Media Group,"June 22, 2018",79,N/A,Unrated,Documentary
785,Dark River,7714,FilmRise,"June 29, 2018",91,N/A,Unrated,Drama
786,Legend of the Mountain,7640,Kino Lorber,"February 2, 2018",184,N/A,Unrated,Action / Adventure
787,The Lodgers,7362,Epic Pictures,"February 23, 2018",93,N/A,R,Horror
788,Shoah: Four Sisters,7323,Cohen Media Group,"November 14, 2018",273,N/A,Unrated,Documentary
789,Tall: The American Skyscraper and Louis Sullivan,7216,Cinema Guild,"January 19, 2018",79,N/A,Unrated,Documentary
790,In Echo Park,7072,Indican,"October 12, 2018",82,N/A,Unrated,Crime Drama
791,This is Congo,7051,Abramorama,"June 29, 2018",91,N/A,Unrated,Documentary
792,In the Land of Pomegranates,7014,First Run,"January 5, 2018",120,N/A,Unrated,Documentary
793,Duckbutter,6877,The Orchard,"April 27, 2018",93,N/A,Unrated,Comedy / Drama
794,Calling All Earthlings,6756,Carpe Stella,"June 29, 2018",74,N/A,Unrated,Documentary
795,A Whale of a Tale,6747,Fine Line Media,"August 17, 2018",95,N/A,Unrated,Documentary
796,An Evening with Beverly Luff Linn,6701,The Film Arcade,"October 19, 2018",108,N/A,R,Crime Comedy
797,Colossal Youth,6375,Giant Steps,"August 3, 2018",98,N/A,Unrated,Comedy / Drama
798,School of Life,6300,Distrib Films,"September 7, 2018",116,N/A,Unrated,Drama
799,The Quake,6235,Magnolia,"December 14, 2018",106,N/A,PG,Action Thriller
800,One Last Thing,6232,Fathom,"June 13, 2018",91,N/A,Unrated,Drama
801,I Am MLK Jr.,5918,Gathr Films,"May 3, 2018",95,N/A,Unrated,Documentary
802,Are We Not Cats,5518,Cleopatra Films,"February 23, 2018",77,N/A,Unrated,Horror Comedy
803,Cuban Food Stories,5434,First Run,"August 10, 2018",82,N/A,Unrated,Documentary
804,Postcards from London,5312,Strand,"November 9, 2018",88,N/A,Unrated,Drama
805,"Distant Voices, Still Lives",5234,Arrow Films,"August 31, 2018",84,N/A,PG-13,Unknown
806,In Searching,5210,Indican,"November 9, 2018",90,N/A,Unrated,Adventure
807,12 Days,5204,Distrib Films,"March 16, 2018",87,N/A,Unrated,Documentary
808,Intersection,5116,Indican,"June 15, 2018",83,N/A,Unrated,Crime Drama
809,Notes on Appearance,5065,Grasshopper Film,"August 17, 2018",60,N/A,Unrated,Drama / Thriller
810,The Texture of Falling,5010,BloodSweatHoney,"June 1, 2018",75,N/A,Unrated,Drama
811,Social Animals,5007,Vertical Entertainment,"June 1, 2018",84,N/A,R,Comedy / Drama
812,An L.A. Minute,5004,Strand,"August 24, 2018",86,N/A,R,Comedy
813,Edward II,4826,Film Movement,"May 4, 2018",87,N/A,R,Drama
814,Status Update,4764,Vertical Entertainment,"March 30, 2018",106,N/A,PG-13,Comedy
815,The Other Side of Everything,4685,Icarus Films,"July 13, 2018",100,N/A,Unrated,Documentary
816,The Long Dumb Road,4667,The Film Arcade,"November 9, 2018",90,N/A,R,Comedy
817,Kangaroo,4547,Abramorama,"January 19, 2018",103,N/A,Unrated,Documentary
818,Kickboxer Retaliation,4537,Well Go USA,"January 26, 2018",110,N/A,R,Action
819,Weightless,4461,Great Point,"November 9, 2018",93,N/A,R,Drama
820,The Peacemaker,4400,Central Square,"February 9, 2018",90,N/A,Unrated,Documentary
821,Small Group,4299,Gathr Films,"October 18, 2018",120,N/A,PG-13,Drama
822,Stella's Last Weekend,4215,Paladin,"October 12, 2018",102,N/A,Unrated,Comedy / Drama
823,The Party's Just Beginning,4145,The Orchard,"December 7, 2018",91,N/A,Unrated,Comedy / Drama
824,Armed,3948,GVN Releasing,"September 14, 2018",118,N/A,R,Action
825,American Dresser,3895,Cinedigm Entertainment,"September 21, 2018",97,N/A,Unrated,Drama
826,The Second Time Around,3837,First Run,"November 30, 2018",107,N/A,Unrated,Romantic Comedy
827,Cocote,3815,Grasshopper Film,"August 3, 2018",106,N/A,Unrated,Drama
828,Nelly,3751,Cinema Libre Studio,"September 7, 2018",100,N/A,Unrated,Drama
829,La Familia,3696,Film Movement,"August 3, 2018",82,N/A,Unrated,Drama
830,FourPlay,3550,Parade Deck Films,"March 30, 2018",78,N/A,Unrated,Comedy / Drama
831,The Citizen,3495,Artmattan Prods.,"July 6, 2018",109,N/A,Unrated,Drama
832,Under the Wire,3429,Abramorama,"November 16, 2018",95,N/A,R,Documentary
833,Cage Fighter,3392,IFC,"February 2, 2018",81,N/A,Not Yet Rated,Documentary
834,Followers,3350,Cinedigm Entertainment,"March 23, 2018",82,N/A,Unrated,Horror
835,Tom of Finland,3314,Gathr Films,"February 23, 2018",115,N/A,Unrated,Drama
836,At First Light,3292,Entertainment One,"September 28, 2018",91,N/A,Unrated,Sci-Fi
837,Over the Limit,3243,Film Movement,"October 12, 2018",73,N/A,Unrated,Documentary
838,Game Changers,3142,Ammo Content,"June 29, 2018",85,N/A,Unrated,Documentary
839,Hot to Trot,3133,First Run,"August 24, 2018",88,N/A,Unrated,Documentary
840,Nana,2784,Fun Academy,"April 13, 2018",100,N/A,Unrated,Documentary
841,Straight into a Storm,2684,Abramorama,"June 15, 2018",110,N/A,Unrated,Documentary
842,ACORN and the Firestorm,2621,First Run,"April 6, 2018",84,N/A,Unrated,Documentary
843,El Pacto,2488,Sony / Columbia,"October 26, 2018",105,N/A,R,Horror Thriller
844,The Swan,2367,Synergetic Distribution,"August 10, 2018",92,N/A,Unrated,Drama
845,10x10,2263,Vertical Entertainment,"April 13, 2018",88,N/A,Unrated,Thriller
846,A Wizard's Tale,2150,Blue Fox Entertainment,"September 14, 2018",97,N/A,Unrated,Animation
847,West of the Jordan River,1926,Kino Lorber,"January 26, 2018",84,N/A,Unrated,Documentary
848,Finding Happiness,1841,Gathr Films,"April 6, 2018",96,N/A,Unrated,Documentary
849,The Lost Village,1780,First Run,"October 19, 2018",89,N/A,Unrated,Documentary
850,An Actor Prepares,1743,Gravitas Ventures,"August 31, 2018",97,N/A,Unrated,Comedy / Drama
851,Henchmen,1469,Entertainment One,"December 7, 2018",89,N/A,Unrated,Animation
852,That Way Madness Lies,1447,First Run,"December 14, 2018",101,N/A,Unrated,Documentary
853,Marrowbone,1377,Magnolia,"April 13, 2018",110,N/A,R,Horror Thriller
854,Beauty and the Beholder,1368,Reel One,"October 26, 2018",95,N/A,Unrated,Comedy / Drama
855,I Still See You,1359,Lionsgate,"October 12, 2018",98,N/A,PG-13,Thriller
856,Billionaire Boy's Club,1349,Vertical Entertainment,"August 17, 2018",108,N/A,R,Thriller
857,Guy,1319,Distrib Films,"December 14, 2018",101,N/A,Unrated,Comedy / Drama
858,Altered Perception,1259,Cinedigm Entertainment,"May 4, 2018",79,N/A,Unrated,Sci-Fi Fantasy
859,Two Men Went to War,1227,Indican,"May 25, 2018",109,N/A,PG,War
860,Under the Turban,1190,Gathr Films,"April 25, 2018",89,N/A,Unrated,Documentary
861,Half Brothers,1100 (Estimate),Parade Deck Films,"September 21, 2018",97,N/A,Unrated,Comedy / Drama
862,Invisible Hands,1034,First Run,"November 23, 2018",80,N/A,Unrated,Documentary
863,Gangsterdam,954,Distrib Films,"September 19, 2018",100,N/A,Unrated,Comedy Thriller
864,The Breadwinner,834,Gathr Films,"April 13, 2018",94,N/A,PG-13,Animation
865,TVTV: Video Revolutionaries,812,First Run,"October 19, 2018",82,N/A,Unrated,Documentary
866,Higher Power,528,Magnolia,"May 11, 2018",93,N/A,R,Action
867,The Legend of Hallowaiian,451,Viva Pictures Distribution,"October 19, 2018",82,N/A,PG,Animation
